[2026-03-07 15:45:00.565343] Team OpenRouter:OR Trinity Large Free | FEN: rnbqkb1r/pppppppp/8/6n1/3P4/2N5/PPP1PPPP/R1BQKB1R b KQkq - 0 4 | Nxg5
[2026-03-07 15:45:46.358451] Team OpenRouter:OR Trinity Large Free | FEN: rnbqkb1r/pppppppp/8/8/3PN3/8/PPP1PPPP/R1BQKB1R b KQkq - 0 5 | Qd7
[2026-03-07 15:46:19.696428] Team OpenRouter:OR Trinity Large Free | FEN: r1bqkb1r/pppppppp/2n5/3P4/4N3/8/PPP1PPPP/R1BQKB1R b KQkq - 0 6 | Bb7
[2026-03-07 15:46:59.486093] Team OpenRouter:OR Trinity Large Free | FEN: r1bqkb1r/pppppppp/8/2NPn3/8/8/PPP1PPPP/R1BQKB1R b KQkq - 2 7 | Bb7
[2026-03-07 15:51:24.253685] Team Cerebras:Cerebras Llama3.1 8B | FEN: r1q1kb1r/p3pppp/b1p5/6B1/8/8/PPP1PPPP/1R2KB1R w Kkq - 8 16 | Bg5
[2026-03-07 15:52:34.015636] Team Cerebras:Cerebras Llama3.1 8B | FEN: r2qkb1r/p3pppp/b1p5/6B1/8/8/PPP1PPPP/1R2KB1R w Kkq - 12 18 | Bg5
[2026-03-07 15:52:34.672321] Team Cerebras:Cerebras Llama3.1 8B | FEN: r2qkb1r/p3pppp/b1p5/6B1/8/8/PPP1PPPP/1R2KB1R w Kkq - 12 18 | Bd7
[2026-03-07 15:59:48.885607] Team GitHub:GitHub GPT-4o Mini | FEN: 6r1/ppp4p/5b1k/5b2/3n2r1/4K3/PPP4P/6R1 b - - 10 31 | Rg7
[2026-03-07 16:01:43.581558] Team Cerebras:Cerebras Llama3.1 8B | FEN: 2kr1br1/p3pppp/2p5/P7/8/4P3/1PP3PP/1R2K2R w - - 1 34 | a4
[2026-03-07 16:04:44.594123] Team OpenRouter:OR Trinity Large Free | FEN: 3r1br1/p1k1pppp/P1p1P3/8/8/2P5/1P4PP/1R2K2R b - - 0 38 | Bxe6
[2026-03-07 16:05:29.629024] Team OpenRouter:OR Trinity Large Free | FEN: 5br1/p1k1pPpp/P1pr4/8/8/2P5/1P4PP/1R2K2R b - - 0 39 | Bf7
[2026-03-07 16:08:41.584155] Team OpenRouter:OR Trinity Large Free | FEN: r7/p1k1p1pp/P1p5/2P5/1P6/1R6/6PP/4K2R b - - 2 45 | Ra6
[2026-03-07 16:08:57.476412] Team Cerebras:Cerebras Llama3.1 8B | FEN: r1k5/p3p1pp/P1p5/2P5/1P6/1R6/6PP/4K2R w - - 3 46 | Rb3
[2026-03-07 16:08:58.312442] Team Cerebras:Cerebras Llama3.1 8B | FEN: r1k5/p3p1pp/P1p5/2P5/1P6/1R6/6PP/4K2R w - - 3 46 | a4
[2026-03-07 16:30:32.421473] Team Google:Gemma 3 27B (Google) | FEN: 2k4r/6pp/8/5p2/1nb4n/2P5/PP3PPP/R2K1R2 w - - 1 25 | c4
[2026-03-07 16:30:38.053515] Team Google:Gemma 3 27B (Google) | FEN: 2k4r/6pp/8/5p2/1nb4n/2P5/PP3PPP/R2K1R2 w - - 1 25 | Be3
[2026-03-07 16:30:42.149450] Team Google:Gemma 3 27B (Google) | FEN: 2k4r/6pp/8/5p2/1nb4n/2P5/PP3PPP/R2K1R2 w - - 1 25 | Be3
[2026-03-07 16:30:44.765813] Team Google:Gemma 3 27B (Google) | FEN: 2k4r/6pp/8/5p2/1nb4n/2P5/PP3PPP/R2K1R2 w - - 1 25 | Be3
[2026-03-07 16:30:48.799318] Team Google:Gemma 3 27B (Google) | FEN: 2k4r/6pp/8/5p2/1nb4n/2P5/PP3PPP/R2K1R2 w - - 1 25 | Be3
[2026-03-07 16:30:55.135575] Team Cerebras:Cerebras Llama3.1 8B | FEN: 2k4r/6pp/8/5p2/1nb4n/2P5/PP3PPP/R2K3R b - - 2 25 | Nh6
[2026-03-07 16:33:07.564848] Team Google:Gemma 3 4B (Google) | FEN: 2k5/5rpp/8/8/1n4bn/2P5/PP1K1PPP/5R2 w - - 2 42 | Rf8
[2026-03-07 16:34:22.466855] Team Google:Gemma 3 4B (Google) | FEN: 2k5/4r1pp/8/5R2/1n4bn/2P5/PP1K1PPP/8 w - - 20 51 | Rf5
[2026-03-07 16:35:53.348831] Team OpenRouter:OR Trinity Large Free | FEN: rnbqkb1r/pppppppN/5n1p/8/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 3 | Bxh7
[2026-03-07 16:36:01.107168] Team OpenRouter:OR Trinity Large Free | FEN: rnbqkb1r/pppppppN/5n1p/8/8/8/PPPPPPPP/RNBQKB1R b KQkq - 1 3 | Nf6
[2026-03-07 16:38:12.138208] Team Google:Gemma 3 4B (Google) | FEN: r1bqkb1r/ppp1p2n/2n1pppp/8/8/8/PPPP1PPP/RNBQK2R w KQkq - 0 10 | Rg4
[2026-03-07 16:38:28.867903] Team OpenRouter:OR Trinity Large Free | FEN: r1bqkb1r/ppp1p2n/2n1pppp/8/3P4/8/PPP2PPP/RNBQK2R b KQkq - 0 10 | Bxh7
[2026-03-07 16:40:40.064147] Team OpenRouter:OR Trinity Large Free | FEN: r1bqk2r/ppp1p1bn/5Qpp/3p4/8/8/PPP2PPP/RNB1K1R1 b Qq - 0 16 | gxf6
[2026-03-07 16:50:00.943567] Team OpenRouter:OR Trinity Large Free | FEN: 1r3k2/p7/1p4pp/2P5/8/P1b4K/8/7R b - - 0 38 | Bxc5
[2026-03-07 17:56:32.102785] Team OpenRouter:OR Trinity Large Free | FEN: r2qkb1r/pb1p2p1/n2p2pp/1PP4n/8/8/PP3PPP/R1B1K2R b KQkq - 0 16 | Qxc5
[2026-03-07 17:56:57.039490] Team Cerebras:Cerebras Llama3.1 8B | FEN: r2qkb2/pb1p2p1/3p2pr/1Pn4n/8/8/PP3PPP/R3K2R w KQq - 0 18 | Bb5
[2026-03-07 17:58:49.464333] Team OpenRouter:OR Trinity Large Free | FEN: r3qb2/p2pk1p1/3p1npr/1Pn5/8/5P2/PP4bP/6K1 b - - 0 23 | Qxf3
[2026-03-07 17:59:00.756892] Team OpenRouter:OR Trinity Large Free | FEN: r3qb2/p2pk1p1/3p1npr/1Pn5/8/5P2/PP4bP/6K1 b - - 0 23 | Ne4
[2026-03-07 17:59:41.523081] Team OpenRouter:OR Trinity Large Free | FEN: r4b2/p2pkqp1/3p1npr/1Pn5/5P2/8/PP4bP/6K1 b - - 0 24 | Qxf4
[2026-03-07 18:01:04.410319] Team OpenRouter:OR Trinity Large Free | FEN: r4b2/p2pk1p1/3p2qr/1Pn5/5n2/7P/PP4b1/6K1 b - - 0 27 | Nxg6
[2026-03-07 18:09:14.671190] Team Cerebras:Cerebras Llama3.1 8B | FEN: 4r3/ppp2kp1/8/3P1K2/8/8/PPP2PPP/R7 b - - 0 32 | d5
[2026-03-07 18:09:15.424337] Team Cerebras:Cerebras Llama3.1 8B | FEN: 4r3/ppp2kp1/8/3P1K2/8/8/PPP2PPP/R7 b - - 0 32 | gxf5
[2026-03-07 18:09:52.228179] Team Google:Gemma 3 27B (Google) | FEN: 8/1p2rkp1/3p4/p4K2/P7/8/1PP2PPP/R7 w - - 0 35 | a4
[2026-03-07 18:10:02.206386] Team Google:Gemma 3 27B (Google) | FEN: 8/1p2rkp1/3p4/p4K2/P7/8/1PP2PPP/R7 w - - 0 35 | Bb5
[2026-03-07 18:10:09.009835] Team Google:Gemma 3 27B (Google) | FEN: 8/1p2rkp1/3p4/p4K2/P7/8/1PP2PPP/R7 w - - 0 35 | Nf3
[2026-03-07 18:11:05.257095] Team Google:Gemma 3 27B (Google) | FEN: 8/1p2k1p1/8/p2K4/P7/R7/1PP2PPP/8 w - - 1 39 | a4
[2026-03-07 18:18:24.536892] Team Google:Gemma 3 27B (Google) | FEN: 8/6k1/6P1/3K4/8/P7/7P/8 w - - 1 74 | h7
[2026-03-07 18:18:32.407594] Team Google:Gemma 3 27B (Google) | FEN: 8/6k1/6P1/3K4/8/P7/7P/8 w - - 1 74 | g7
[2026-03-07 18:27:21.179855] Team OpenRouter:OR Trinity Large Free | FEN: r1b4q/pppp4/2n3k1/8/8/2N5/PPPP1PPP/R1B1KB1R b KQ - 2 14 | Qxe4
[2026-03-07 18:27:30.827390] Team OpenRouter:OR Trinity Large Free | FEN: r1b4q/pppp4/2n3k1/8/8/2N5/PPPP1PPP/R1B1KB1R b KQ - 2 14 | Qh8
[2026-03-07 18:28:08.868616] Team OpenRouter:OR Trinity Large Free | FEN: r1b5/pppp4/2n3k1/3N4/8/8/PPPP1PPq/R1B1KB1R b KQ - 1 15 | Bb7
[2026-03-07 18:42:14.562082] Team Google:Gemma 3 27B (Google) | FEN: 6R1/8/1p1K3k/8/8/5P2/P1P3P1/8 w - - 8 45 | Rg8
[2026-03-07 18:43:20.936552] Team Google:Gemma 3 27B (Google) | FEN: 6R1/8/1p1K3k/8/8/5P2/P1P3P1/8 w - - 12 47 | Rg8
[2026-03-07 18:59:40.304002] Team Google:Gemma 3 27B (Google) | FEN: 7Q/8/4K3/8/8/6k1/P1P5/8 w - - 39 84 | Qh8
[2026-03-07 19:01:36.265817] Team Google:Gemma 3 27B (Google) | FEN: 8/5Q2/4K3/8/8/4k3/P1P5/8 w - - 47 88 | Qf7
[2026-03-07 19:10:43.382051] Team Cerebras:Cerebras Llama3.1 8B | FEN: rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w KQkq - 2 2 | Nf3
[2026-03-07 19:11:54.529013] Team Cerebras:Cerebras Llama3.1 8B | FEN: r1b1qb1r/pppppkp1/2n2n1p/8/8/2P5/PPQPPPPP/RNB1KB1R w KQ - 3 6 | Bc4
[2026-03-07 19:12:27.801192] Team OpenRouter:OR Trinity Large Free | FEN: r1b1qb1r/pppppkp1/2n4p/8/2P1n3/8/PP1PPPPP/RNB1KB1R b KQ - 0 7 | Nxc4
[2026-03-07 19:13:15.964669] Team OpenRouter:OR Trinity Large Free | FEN: r1b1qb1r/pppppkp1/3n3p/8/2Pn1B2/8/PP2PPPP/RN2KB1R b KQ - 1 9 | Nxf4
[2026-03-07 19:13:25.854648] Team OpenRouter:OR Trinity Large Free | FEN: r1b1qb1r/pppppkp1/3n3p/8/2Pn1B2/8/PP2PPPP/RN2KB1R b KQ - 1 9 | Nf5
[2026-03-07 19:15:09.823797] Team OpenRouter:OR Trinity Large Free | FEN: r1b1qb1r/pppppkp1/5n1p/6B1/2n5/3K4/PP2PPPP/RN3B1R b - - 5 14 | Nxg5
[2026-03-07 19:15:36.810634] Team OpenRouter:OR Trinity Large Free | FEN: r1b1qb1r/pppppkp1/5n1p/6B1/2n5/3K4/PP2PPPP/RN3B1R b - - 5 14 | Nxf6
[2026-03-07 19:18:01.534914] Team OpenRouter:OR Trinity Large Free | FEN: r1b2b1r/pp1p1kp1/2p4p/4p1q1/2K5/8/PP1NPnPP/R4BR1 b - - 1 21 | Qxg1
[2026-03-07 19:18:14.804127] Team OpenRouter:OR Trinity Large Free | FEN: r1b2b1r/pp1p1kp1/2p4p/4p1q1/2K5/8/PP1NPnPP/R4BR1 b - - 1 21 | Qxg5
[2026-03-08 10:42:12.852669] Team OpenRouter:OR Trinity Large Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Nxe4
[2026-03-08 10:42:21.766176] Team OpenRouter:OR Trinity Large Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Nxg2
[2026-03-08 10:42:47.712264] Team OpenRouter:OR Trinity Large Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Rxh6
[2026-03-08 10:42:58.532019] Team OpenRouter:OR Trinity Large Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | e4
[2026-03-08 10:43:19.412893] Team OpenRouter:OR Trinity Large Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Nxd5
[2026-03-08 10:43:49.737334] Team OpenRouter:OR Liquid 2.5 1.2B Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Nf3
[2026-03-08 10:43:51.098079] Team OpenRouter:OR Liquid 2.5 1.2B Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | e5
[2026-03-08 10:43:52.112125] Team OpenRouter:OR Liquid 2.5 1.2B Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Bf6
[2026-03-08 10:43:53.218733] Team OpenRouter:OR Liquid 2.5 1.2B Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | Bc4
[2026-03-08 10:43:54.226295] Team OpenRouter:OR Liquid 2.5 1.2B Free | FEN: r1bk1b1r/p7/2p4p/P2Bp1p1/4P3/8/6PP/K5R1 b - - 0 37 | b5
[2026-03-08 10:45:53.746091] Team Cerebras:Cerebras Llama3.1 8B | FEN: r1bqkb1r/2p2ppp/p1np1n2/1p2p3/B3P3/2NP1N2/PPP2PPP/R1BQ1RK1 b kq - 0 7 | c5
[2026-03-08 10:46:01.196436] Team Google:Gemma 3 27B (Google) | FEN: r1bqkb1r/2p2ppp/p1np1n2/4p3/Bp2P3/2NP1N2/PPP2PPP/R1BQ1RK1 w kq - 0 8 | e5
[2026-03-08 10:46:07.870959] Team Cerebras:Cerebras Llama3.1 8B | FEN: r1bqkb1r/2p2ppp/p1np1n2/4p3/Bp1PP3/2N2N2/PPP2PPP/R1BQ1RK1 b kq - 0 8 | e6
